"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"A & P Hospitality of Illinois LLC","150701151","Calumet Park","5","421668.6100","385209.7100","36458.9000","164436.0000","127976.6900","36459.3100","10937.8300","9114.8600","1822.9700",
"A & S Enterprises of Illinois, LLC","121010810","Carmi","5","637196.5600","590449.3400","46747.2200","149319.0000","102612.0900","46706.9100","14012.1600","11676.8000","2335.3600",
"A G P 18 INCORPORATED","150704443","Belvidere","5","165202.8300","149894.5300","15308.3000","62924.0000","47615.7000","15308.3000","4592.6000","3827.1700","765.4300",
"A K ENTERPRISES OF RICHMOND INC.","150702279","Richmond","5","334315.6000","309733.8100","24581.7900","115859.0000","91277.0600","24581.9400","7374.6200","6145.5100","1229.1100",
"A One A, Inc.","140702940","Vandalia","5","87749.2100","79205.0700","8544.1400","28701.0000","20156.8600","8544.1400","2563.2700","2136.0600","427.2100",
"A Segura LLC","160701785","Kewanee","4","41768.2700","40099.1000","1669.1700","16979.0000","15310.2500","1668.7500","500.6600","417.2200","83.4400",
"A'Salute' Inc.","160702452","St. Charles","5","140815.9400","130790.7600","10025.1800","39921.0000","29895.8200","10025.1800","3007.6400","2506.3700","501.2700",
"A. C. FOX, INC.","160701112","Oak Lawn","5","134031.7000","122330.0000","11701.7000","40198.0000","28496.3000","11701.7000","3510.5600","2925.4700","585.0900",
"A. C. Pitstop, Inc.","120702284","Walnut Hill","5","192727.1300","171721.5600","21005.5700","60977.0000","39971.5300","21005.4700","6301.6800","5251.4000","1050.2800",
"A.A.A. M & V, Inc.","130703265","Roscoe","5","803558.2100","735185.6600","68372.5500","235164.0000","166841.8200","68322.1800","20496.7100","17080.5900","3416.1200",
"A.A.A.M & V, Inc.","140702586","Roscoe","5","565255.4900","522395.3500","42860.1400","172457.0000","129783.6500","42673.3500","12802.0900","10668.4100","2133.6800",
"A.B.E., INC.","121001285","Thomson","4","102151.8900","94109.9200","8041.9700","24468.0000","16426.2800","8041.7200","2412.5600","2010.4700","402.0900",
"A.C. Fischer, Inc.","150701601","Belleville","5","111716.5400","103794.0400","7922.5000","34216.0000","26293.5500","7922.4500","2376.7500","1980.6300","396.1200",
"A.C. Hicks, Inc.","140700193","Nelson","4","122342.8300","112328.2300","10014.6000","33326.0000","23311.3800","10014.6200","3004.4700","2503.7200","500.7500",
"A.J.'s Lounge of Benson, Inc.","120707733","Benson","3","115968.1800","108696.4300","7271.7500","33452.0000","26180.2500","7271.7500","2181.5500","1817.9600","363.5900",
"A.J.C. Georges, Inc.","120709885","Countryside","5","210605.4700","196498.8300","14106.6400","69045.0000","54938.3600","14106.6400","4232.0900","3526.7500","705.3400",
"A.P.W. Inc.","140703778","West Peoria","3","80013.8700","73500.0400","6513.8300","21451.0000","14937.1700","6513.8300","1954.2100","1628.5100","325.7000",
"A.S.GIAN CORPORATION","160701115","Rochelle","5","122330.8300","111090.0400","11240.7900","42425.0000","31184.2300","11240.7700","3372.3000","2810.2600","562.0400",
"AAP SERVICES, INC.","140703403","Pittsfield","4","102919.3700","92462.5700","10456.8000","33575.0000","23117.8800","10457.1200","3137.1600","2614.3000","522.8600",
"Aaron B Hicks","120706185","Warren","2","83407.7200","74567.2200","8840.5000","21995.0000","13154.5000","8840.5000","2652.1200","2210.1000","442.0200",
"ABBE LANES BOWLING CENTER, INC.","120704413","Galesburg","5","227228.4200","205695.0600","21533.3600","69756.0000","48222.7500","21533.2500","6460.0800","5383.4100","1076.6700",
"ABE'S HIDEOUT, LLC","160700677","Mechanicsburg","3","44520.0300","40286.1900","4233.8400","12881.0000","8647.1600","4233.8400","1270.1500","1058.4600","211.6900",
"ABEL LLC","150701791","Taylor Springs","3","41510.3700","39460.2300","2050.1400","11734.0000","9683.7000","2050.3000","615.0900","512.5800","102.5100",
"ABRUZZO'S DIVISION LOUNGE AND ITALIAN RESTAURANT, INC.","130700290","Melrose Park","4","80844.1000","74747.9700","6096.1300","24670.0000","18573.8700","6096.1300","1828.8400","1524.0300","304.8100",
